source,depth_m,model,metric,control,treatment,abs_delta,rel_delta
exp3,1.4,non_refractive,anisotropy_ratio,0.8386124532907362,0.9104882280061704,0.07187577471543416,0.08570797444444311
exp3,1.4,refractive,xy_rmse_mm,0.5749169244815747,0.5749169244815747,0.0,0.0
exp3,1.4,refractive,z_rmse_mm,1.4547100404226612,1.4547100404226612,0.0,0.0
exp3,1.4,refractive,anisotropy_ratio,2.530296080141371,2.530296080141371,0.0,0.0
exp3,1.5,non_refractive,xy_rmse_mm,53.0398243180367,47.23381172522063,-5.806012592816067,-0.10946515505032842
exp3,1.5,non_refractive,z_rmse_mm,59.661114213383655,57.84861136580268,-1.8125028475809728,-0.030379969792357277
exp3,1.5,non_refractive,anisotropy_ratio,1.124836195829844,1.2247288383654678,0.09989264253562369,0.08880639057132068
exp3,1.5,refractive,xy_rmse_mm,0.6185236754911912,0.6185236754911912,0.0,0.0
exp3,1.5,refractive,z_rmse_mm,1.627307414112923,1.627307414112923,0.0,0.0
exp3,1.5,refractive,anisotropy_ratio,2.6309541228484443,2.6309541228484443,0.0,0.0
exp3,1.7,non_refractive,xy_rmse_mm,59.21470206724688,52.79792105765346,-6.4167810095934215,-0.10836465920754336
exp3,1.7,non_refractive,z_rmse_mm,102.13795777025226,100.37628514149068,-1.7616726287615734,-0.0172479719314954
exp3,1.7,non_refractive,anisotropy_ratio,1.724874975377902,1.901140861813164,0.17626588643526198,0.10219052914060857
exp3,1.7,refractive,xy_rmse_mm,0.656005240601755,0.656005240601755,0.0,0.0
exp3,1.7,refractive,z_rmse_mm,1.6809831895242866,1.6809831895242866,0.0,0.0
exp3,1.7,refractive,anisotropy_ratio,2.562453903542473,2.562453903542473,0.0,0.0
exp3,2.0,non_refractive,xy_rmse_mm,68.35403201143602,61.02375349356099,-7.33027851787503,-0.10723988479053631
exp3,2.0,non_refractive,z_rmse_mm,166.4418990702444,163.9884513660826,-2.4534477041618175,-0.014740565433745594
exp3,2.0,non_refractive,anisotropy_ratio,2.434997529368827,2.6872888339027865,0.2522913045339594,0.10361049713235461
