camera,frame_idx,corner_id,stage,h_q_m,h_c_m,r_q_m,chord_incidence_deg,extended,nan_reason,n_flagged_at_stage,truncated,bucket,provenance
e3v83f0,22,13,stage3_intrinsic_pass,-0.0024870205708522,1.0471767857114005,0.5163975576611457,26.30351364837271,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,0,stage3_intrinsic_pass,-0.0640214631517053,1.1044982214439607,0.0508337179570122,2.797028797275223,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,1,stage3_intrinsic_pass,-0.0551440638410398,1.1044982214439607,0.1033066265941183,5.622526695797695,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,2,stage3_intrinsic_pass,-0.0462666645303744,1.1044982214439607,0.160632608389885,8.631234472964543,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,3,stage3_intrinsic_pass,-0.0373892652197089,1.1044982214439607,0.2190337741558996,11.599369554754974,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,4,stage3_intrinsic_pass,-0.0285118659090435,1.1044982214439607,0.2778329302418543,14.478233441611172,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,5,stage3_intrinsic_pass,-0.0196344665983778,1.1044982214439607,0.3368217089136783,17.248196474683134,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,6,stage3_intrinsic_pass,-0.0107570672877124,1.1044982214439607,0.3959153616964668,19.89937895406924,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,11,stage3_intrinsic_pass,-0.0202418191921831,1.1044982214439607,0.0803360201152895,4.237484318738851,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,12,stage3_intrinsic_pass,-0.0113644198815177,1.1044982214439607,0.1173233548048846,6.1259644534275965,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83f1,22,13,stage3_intrinsic_pass,-0.0024870205708522,1.1044982214439607,0.1676843659985614,8.651881666036845,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83e9,23,0,stage3_intrinsic_pass,-0.0567469493962085,1.0572725774184537,0.3316744961272771,18.340371769647405,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
