seed,n_true,n_assumed,delta_n,delta_n_over_n,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,scale_bias_frac,scale_bias_pct,scale_bias_pct_control,bias_over_control,holdout_floor_pct,scale_bias_over_floor,num_comparisons,num_frames,degenerate_observations_at_solution,degenerate_observations_cause_above_interface,degenerate_observations_cause_behind_camera,degenerate_observations_cause_interface_below_camera,degenerate_observations_fate_extended,degenerate_observations_fate_penalized
42,1.333,1.343,0.010000000000000009,0.0075018754688672236,0.707900973723716,0.344398947985563,0.4882193089222512,0.03649546536404964,1.0006082577560675,0.060825775606754284,0.049908026866840594,0.01091774873991369,,,4707,30,0,0,0,0,0,0
43,1.333,1.323,-0.010000000000000009,-0.0075018754688672236,0.7077337975394794,0.3427455406186914,0.47755705608499593,0.012679838004389102,1.0002113306334064,0.021133063340639247,0.03750167743707955,0.016368614096440304,1.0468976610769782,0.020186369810874318,4710,30,0,0,0,0,0,0
43,1.333,1.325,-0.008000000000000007,-0.006001500375093779,0.7067888895680788,0.3429297528077746,0.4780283276930346,0.014630830330239127,1.0002438471721706,0.024384717217063034,0.03750167743707955,0.013116960220016516,1.0468976610769782,0.023292360011558027,4710,30,0,0,0,0,0,0
43,1.333,1.327,-0.006000000000000005,-0.004501125281320334,0.7060513310053762,0.3431428259985179,0.47854193011475227,0.01658766641130007,1.000276461106855,0.027646110685508596,0.03750167743707955,0.009855566751570954,1.0468976610769782,0.02640765350174546,4710,30,0,0,0,0,0,0
43,1.333,1.329,-0.0040000000000000036,-0.0030007501875468894,0.7055209404023469,0.3434051221164355,0.47909791012489694,0.018552326281451953,1.0003092054380243,0.03092054380242626,0.03750167743707955,0.006581133634653291,1.0468976610769782,0.029535402505930973,4710,30,0,0,0,0,0,0
43,1.333,1.331,-0.0020000000000000018,-0.0015003750937734447,0.7051968881143957,0.3437038099302453,0.479696209929232,0.02052332869826592,1.0003420554783045,0.03420554783044594,0.03750167743707955,0.003296129606633613,1.0468976610769782,0.03267324887826911,4710,30,0,0,0,0,0,0
43,1.333,1.333,0.0,0.0,0.7050779549395285,0.34402039300208304,0.4803364842365995,0.022501006462252598,1.0003750167743708,0.03750167743707955,0.03750167743707955,0.0,1.0468976610769782,0.03582172243894435,4710,30,0,0,0,0,0,0
43,1.333,1.335,0.0020000000000000018,0.0015003750937734447,0.7051630162740656,0.3443772252095802,0.481018879296285,0.024486444203733228,1.0004081074033955,0.04081074033954746,0.03750167743707955,0.0033090629024679075,1.0468976610769782,0.038982549925237295,4710,30,0,0,0,0,0,0
43,1.333,1.337,0.0040000000000000036,0.0030007501875468894,0.7054503694104901,0.34478300287040603,0.4817436336489706,0.026478872548042716,1.0004413145424673,0.04413145424673193,0.03750167743707955,0.006629776809652377,1.0468976610769782,0.042154506488563975,4710,30,0,0,0,0,0,0
43,1.333,1.339,0.006000000000000005,0.004501125281320334,0.7059387676028682,0.3452179637069767,0.48251042391488846,0.02847769889396906,1.0004746283148995,0.047462831489952784,0.03750167743707955,0.009961154052873233,1.0468976610769782,0.04533664870463671,4710,30,0,0,0,0,0,0
