residual_x_px,residual_y_px,camera,is_auxiliary
-19.736912451410262,-38.29463271533268,e3v8250,True
-19.70153080951377,17.88495291574492,e3v8250,True
-19.463296395275847,0.05357484506794208,e3v8250,True
-19.18336464682443,11.989147249387202,e3v8250,True
-19.028782101805064,-55.321725565412635,e3v8250,True
-18.946905513994352,-43.381272966366396,e3v8250,True
-18.920780729434682,-1.820269707888997,e3v8250,True
-18.8583950396187,-13.4646947377679,e3v8250,True
-18.85299123543723,-29.029748093226658,e3v8250,True
-18.807775282649573,25.16417824438122,e3v8250,True
-18.802432452836,-0.18615878335617708,e3v8250,True
-18.692510367774503,6.537311962543356,e3v8250,True
-18.537000738032702,-41.06480487723843,e3v8250,True
-18.50253049525577,-0.7200467961002914,e3v8250,True
-18.447761597688896,-43.87102608212433,e3v8250,True
-18.319240462552784,-32.9955389421408,e3v8250,True
-18.30284028923836,-56.8194472366589,e3v8250,True
-18.24152652143846,-32.11539336101782,e3v8250,True
-18.10474869143286,-21.76568781333583,e3v8250,True
-18.096728265590627,0.8287324978630295,e3v8250,True
-17.96961291850721,20.72337097445586,e3v8250,True
-17.906908728683902,-33.754965121922964,e3v8250,True
-17.876977264055313,1.896295924776041,e3v8250,True
-17.846418759174412,0.3200330769793709,e3v8250,True
-17.81712285444678,-30.76901251338984,e3v8250,True
-17.799794648409943,-23.70611374304883,e3v8250,True
-17.726265021996596,-0.6590380660810524,e3v8250,True
-17.606792670188497,-13.013139958001375,e3v8250,True
-17.582991529515425,-38.02017752827419,e3v8250,True
-17.578061223168334,4.137539282269415,e3v8250,True
-17.57397229897606,-25.826282087963364,e3v8250,True
-17.5327931255365,-16.096171483654757,e3v8250,True
-17.515540033215075,-18.30474339588136,e3v8250,True
-17.492042005046414,1.5781919556791308,e3v8250,True
-17.325694063837545,-19.618610976114496,e3v8250,True
-17.314085372739555,-15.25096931308542,e3v8250,True
-17.281078794411314,1.117224805988144,e3v8250,True
-17.272093820716805,-48.61247728397257,e3v8250,True
-17.26306157321619,-28.97619929308405,e3v8250,True
-17.22408950958186,-24.876132272649215,e3v8250,True
-17.2213788517347,-16.783920464488347,e3v8250,True
-17.201491602036185,-10.880867438116866,e3v8250,True
-16.986465920758064,2.09319409929185,e3v8250,True
-16.90492650094211,13.205140116943369,e3v8250,True
-16.864524913094556,-24.96504696772263,e3v8250,True
-16.855232443168234,3.5038701958691263,e3v8250,True
-16.827933963013493,6.344582651019664,e3v8250,True
-16.81833264933107,4.647071876266239,e3v8250,True
-16.731805186770544,-18.845202408703244,e3v8250,True
-16.69680012538197,8.335936636210874,e3v8250,True
-16.681481148482817,-14.373001668813686,e3v8250,True
-16.675346397816725,-67.92680351229296,e3v8250,True
-16.669213953997314,3.0937152692495147,e3v8250,True
-16.581954808614455,-3.241573586676168,e3v8250,True
-16.42053875865986,2.1049800972887738,e3v8250,True
-16.349715291480834,-21.39374699469829,e3v8250,True
-16.31985497634969,-16.04816524257876,e3v8250,True
-16.290418893505603,-60.84314933335531,e3v8250,True
-16.120947440941563,2.3554177823464215,e3v8250,True
-16.098543477160547,-12.612411290533146,e3v8250,True
-16.052548144156845,-10.01779544430724,e3v8250,True
-16.037382544077673,-16.599294358636598,e3v8250,True
-15.973101642936854,5.0131914798938055,e3v8250,True
-15.925511553800334,-2.766672135589033,e3v8250,True
-15.848302041451234,-20.394096620549817,e3v8250,True
-15.693825009953798,-26.518432460060467,e3v8250,True
-15.648473108521557,-15.243807514478476,e3v8250,True
-15.614406503047348,-2.0295380681279767,e3v8250,True
-15.613890630654623,9.16756440146139,e3v8250,True
-15.570420460403511,0.19250411086852637,e3v8250,True
-15.516154881025045,-45.4782933951908,e3v8250,True
-15.469256173074882,1.5391530060653622,e3v8250,True
-15.429903107486325,-2.1068800065864934,e3v8250,True
-15.392142564900269,-34.69083295472569,e3v8250,True
-15.223513165740087,12.388699624635933,e3v8250,True
-15.18859134820866,-42.39731012470247,e3v8250,True
-15.166693677874036,-3.6865237906993116,e3v8250,True
-15.156350571529401,-9.05318808849836,e3v8250,True
-15.023376412188213,-21.755198618270015,e3v8250,True
-15.015441372484702,-6.260097091408397,e3v8250,True
-14.971644319231018,-2.1572511018390514,e3v8250,True
-14.622920772732868,7.377043067997931,e3v8250,True
