test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points,seed
2.0,non_refractive,0.3469972042285092,0.5765167554814562,1.005783286737142,1.1824180883607724,1.8966756493207828,15.75670841597621,147.24811017864405,9.345105988592433,4312,42
2.0,refractive,0.033930862085200054,0.38459292696424396,1.0005655143680867,1.1824180883607724,1.8966756493207828,0.755679324317524,1.6486916635688278,2.1817345142502202,4312,42
2.5,non_refractive,0.5711354888943238,0.9214560287598771,1.0095189248149055,1.1824180883607724,1.8966756493207828,19.635425055755423,248.2667685366639,12.643819414741591,4312,42
2.5,refractive,0.04980181656772511,0.4137408672391035,1.0008300302761288,1.1824180883607724,1.8966756493207828,0.8834464415282424,1.9375999763160514,2.1932285707827024,4312,42
1.1,non_refractive,0.22186450707756122,0.8610228355454682,1.003697741784626,1.2169216660941733,1.9727428619424974,7.797244685415622,47.55413157926796,6.0988379226081895,4054,43
1.1,refractive,0.024151411661317904,0.4003990749978528,1.0004025235276885,1.2169216660941733,1.9727428619424974,0.505030423400563,1.9278186746144266,3.817232755273803,4054,43
1.2,non_refractive,0.19075250949774245,0.7443423150029969,1.0031792084916291,1.2169216660941733,1.9727428619424974,8.543881731972768,26.05800960104192,3.0499028917415942,4247,43
1.2,refractive,0.02227228219377124,0.37708394562729985,1.0003712047032296,1.2169216660941733,1.9727428619424974,0.4813428939046243,1.7636210447824128,3.6639598654423375,4247,43
1.3,non_refractive,0.1561749706805655,0.5700545427252456,1.0026029161780095,1.2169216660941733,1.9727428619424974,9.192983292668288,7.0421523019575645,0.7660355814606905,4282,43
1.3,refractive,0.02388110903739395,0.4030701899685222,1.0003980184839565,1.2169216660941733,1.9727428619424974,0.5147277021279383,1.7748480392293364,3.4481300149417424,4282,43
1.4,non_refractive,0.15887515071680225,0.4736634824606645,1.0026479191786133,1.2169216660941733,1.9727428619424974,9.894056215924582,19.876565315958093,2.0089400021769195,4294,43
1.4,refractive,0.024556812552259215,0.39098098448907376,1.0004092802092044,1.2169216660941733,1.9727428619424974,0.5068254873434174,1.7009811908302124,3.3561476944383677,4294,43
1.5,non_refractive,0.14565276628340498,0.46098441174285965,1.0024275461047234,1.2169216660941733,1.9727428619424974,10.478804924000752,40.973868368360385,3.910166155924275,4288,43
1.5,refractive,0.029653531826164755,0.41973085976259394,1.000494225530436,1.2169216660941733,1.9727428619424974,0.5389513875266913,1.7748688613926942,3.2931891492807313,4288,43
1.7,non_refractive,0.18477427387229625,0.46221858319848835,1.0030795712312048,1.2169216660941733,1.9727428619424974,12.047816479781293,84.66075505160639,7.027062139739969,4312,43
1.7,refractive,0.03296290726110385,0.3961656822715146,1.0005493817876852,1.2169216660941733,1.9727428619424974,0.5351116598990362,1.6139852886874666,3.0161654279631844,4312,43
2.0,non_refractive,0.2638066604378646,0.5520199579579439,1.0043967776739644,1.2169216660941733,1.9727428619424974,14.290837614394382,148.8303685114802,10.414390851490152,4312,43
2.0,refractive,0.032645947429751604,0.3844378162101649,1.0005440991238292,1.2169216660941733,1.9727428619424974,0.5603614001298627,1.450862686509442,2.5891552954454164,4312,43
2.5,non_refractive,0.4018575267151881,0.8281471883276044,1.006697625445253,1.2169216660941733,1.9727428619424974,17.9702308544246,252.0552418875273,14.02626621379584,4312,43
2.5,refractive,0.04756489295968378,0.4131173466551048,1.0007927482159946,1.2169216660941733,1.9727428619424974,0.6396859021562745,1.4159476884410787,2.2135046022870837,4312,43
1.1,non_refractive,0.23130698920634699,0.9705675319655922,1.0038551164867724,1.2232582894305215,2.0370421038025053,3.791219248884252,77.51956293844508,20.44713266352478,4054,44
1.1,refractive,0.023941849441502162,0.4008978566339523,1.000399030824025,1.2232582894305215,2.0370421038025053,0.41894149012142473,1.8784345522152424,4.483763476543712,4054,44
1.2,non_refractive,0.2177984712098377,0.8474553134462808,1.003629974520164,1.2232582894305215,2.0370421038025053,3.998593127426272,57.050204319968636,14.267569242957581,4247,44
1.2,refractive,0.023238696854365436,0.3779217297907644,1.0003873116142394,1.2232582894305215,2.0370421038025053,0.4069381010776033,1.8624864561120256,4.57682986965344,4247,44
1.3,non_refractive,0.19555272833528126,0.6574281730911266,1.0032592121389214,1.2232582894305215,2.0370421038025053,4.124106462712551,35.50759886756535,8.60976776147794,4282,44
1.3,refractive,0.023801649148293216,0.402983937061502,1.0003966941524716,1.2232582894305215,2.0370421038025053,0.43648578016667156,1.8512533418221124,4.241268389350997,4282,44
1.4,non_refractive,0.2193400572511328,0.5458335974656363,1.0036556676208521,1.2232582894305215,2.0370421038025053,4.472211371467925,15.034519994889761,3.3617641802012916,4294,44
1.4,refractive,0.024305472769963945,0.39109032453023873,1.0004050912128328,1.2232582894305215,2.0370421038025053,0.4178985411950548,1.8172489756786985,4.348541084833543,4294,44
1.5,non_refractive,0.2118630554478676,0.5221680364228136,1.003531050924131,1.2232582894305215,2.0370421038025053,4.925264910217017,8.257957248528545,1.6766524032845744,4288,44
1.5,refractive,0.028495790728680477,0.41937503375862495,1.000474929845478,1.2232582894305215,2.0370421038025053,0.4664568820203464,1.9194749928249328,4.11501055469733,4288,44
1.7,non_refractive,0.29376432125165114,0.5172243615133663,1.0048960720208608,1.2232582894305215,2.0370421038025053,5.878628740827952,48.45152013642657,8.241976534412448,4312,44
1.7,refractive,0.03190770103430608,0.3946785316064032,1.0005317950172385,1.2232582894305215,2.0370421038025053,0.46524433423127576,1.9147108330933595,4.115495218780128,4312,44
2.0,non_refractive,0.43007911252361164,0.6421691627583446,1.007167985208727,1.2232582894305215,2.0370421038025053,7.705740922882376,108.9596738973767,14.140064529527384,4312,44
2.0,refractive,0.03049644385018645,0.3838353724834305,1.0005082740641698,1.2232582894305215,2.0370421038025053,0.48882080234223924,1.9443129871001759,3.977557783514498,4312,44
2.5,non_refractive,0.6545174247523268,0.9189111122316503,1.0109086237458722,1.2232582894305215,2.0370421038025053,10.151191688018406,205.50181768767462,20.244107687399037,4312,44
